index,territory,state
0,Mare Beringianum,
1,Chatanga,
2,Flumen Cromwellianum,
3,Insulae Aleutiae,
4,Alasca,
5,Saskatchewan,
6,Columbia Britannica,
7,Haida Gwaii,
8,Kitlineq,
9,Nunavut,
10,Baffin,
11,Groenlandia,
12,Keewatin,
13,Canada,
14,Ungava,
15,Terra Nova,
16,Mare Laboratorium,
17,Islandia,
18,Tzadia,
19,Hibernia,
20,Caledonia,
21,Britannia,
22,Occitania,
23,Batavia,
24,Neustria,
25,Flumen Kuroshio,
26,Flumen Californiense,
27,Esonia,
28,Camtschatca,
29,Iaponia Boreales,
30,Iaponia Australes,
31,Australia Occidentalis,
32,Terra Reginae,
33,Australia Septentrionalis,
34,Australia Australis,
35,Cambria Australis,
36,Te Ika-a-Maui,
37,Te Waipounamu,
38,Cambosia,
39,Tasmania,
40,Magnus Sinus Australianus,
41,Mexicum,
42,Samoa,
43,Oceanus Indicus,
44,Mare Tasmanianum,
45,Guatemala,
46,Amazonia,
47,Peruvia,
48,Columbia,
49,Caatinga,
50,Guiana,
51,Patagonia,
52,Atacama,
53,Pantanal,
54,Brasilia Australis,
55,Mare Caribaeum,
56,Florida,
57,Antillae,
58,Texia,
59,Mississippia,
60,Massachusetta,
61,Carolinae,
62,Chihuahua,
63,Lacus Magni,
64,Magnae Planities,
65,Dacota,
66,Oregonia,
67,Flumen Aequatoriale Septentrionale,
68,Havaii,
69,Insulae Marianae,
70,Insulae Marsaliensis,
71,Insulae Marchionis,
72,Insula Paschalis,
73,Polynesia Centralis,
74,Insulae Salomanis,
75,Polynesia Australis,
76,Flumen Circumpolare Antarcticum,
77,Insulae Galapagenses,
78,Gyrus Pacifici Australis,
79,Flumen Humboldtianum,
80,Insulae Bonin,
81,Insulae Atlanticae Australis,
82,Mare Argentinum,
83,Fossa Mariana,
84,Polynesia Borealis,
85,Fretum Drakeanum,
86,Oceanus Atlanticus Australis,
87,Flumen Benguelense,
88,Flumen Aequatoriale Australe,
89,Mare Sargassum,
90,Oceanus Atlanticus,
91,Canariae Insulae,
92,Azores,
93,Oceanus Atlanticus Orientalis,
94,Insulae Societalis,
95,Andalusia,
96,Castella,
97,Aragonia,
98,Sardinia,
99,Italia Annonaria,
100,Italia Suburbicaria,
101,Graecia,
102,Illyria,
103,Dacia,
104,Danubia,
105,Germania,
106,Syria,
107,Norvegia,
108,Crasnoiarium,
109,Suecia,
110,Permia,
111,Finnia,
112,Kola,
113,Mare Barentsianum,
114,Biarmia,
115,Nova Zembla,
116,Novogardia,
117,Polonia,
118,Cappadocia,
119,Ucraina,
120,Baltica,
121,Transcaucasia,
122,Moscovia,
123,Assyria,
124,Ciscaucasia,
125,Mauretania,
126,Sahara,
127,Libya,
128,Aegyptus,
129,Malia,
130,Cammarunia,
131,Kenia,
132,Abyssinia,
133,Socotra,
134,Insulae Mascarene,
135,Madagascaria,
136,Cape,
137,Congo,
138,Flumen Agulhas,
139,Oceanus Indicus Occidentalis,
140,Mare Arabicum,
141,SriLanca,
142,Mesopotamia,
143,Hidiazum,
144,Media,
145,Maharastra,
146,Afgania,
147,Ganges,
148,Nenetsia,
149,Orenburgum,
150,Tibetum,
151,Altai,
152,Lapponia,
153,Tungusca,
154,Lena,
155,Cisbaicalia,
156,Mare Tschukotense,
157,Amur,
158,Magadanum,
159,Corea,
160,Insulae Lineae,
161,Territorium Maritimum,
162,Planum Sinense,MountAye
163,Flumen Flavum,
164,Flumen Margaritarum,
165,Formosa,
166,Birmania,
167,Vietnamia,
168,Thailandia,
169,Malaesia,
170,Sumatra,
171,Andamanenses,
172,Sinus Bengalensis,
173,Hainania,
174,Mare Philippinense,
175,Iava,
176,Celebis,
177,Papua,
178,Borneum,
179,Casmiria,
180,Melanesia,
181,Flumen Australianum Occidentale,
182,Gyrus Indici,
183,Archipelagus Crozetense,
184,Oceanus Indicus Australis,
185,Oceanus Atlanticus Septentrionalis,
186,Mare Norvegicum,
187,Tarim,
188,Marocum,
189,Casanum,
190,Numidia,
191,Finmarchia,
192,Taimyr,
193,Tomium,
194,Iamalia,
195,Iana,
196,Colyma,
197,Tschucoticus,
198,Kenai,
199,Athabasca,
200,Dene,
201,Laboratoria,
202,Flumen Argenteum,
203,Terra Ignium,
204,Nivata,
205,Chorasmia,
206,Kazachia,
207,Indus,
208,Desertum Gobium,
209,Somalia,
210,Naimbia,
211,Guinea,
212,Nigritania,
213,Ngbandia,
214,Angolia,
215,Zambia,
216,Capitis Viridis,
217,Tuvalu,
218,Philippinae,
219,Yucatania,
220,Beninum,
221,Sichuan,
222,Zimbabua,
223,Tobolium,
224,Ienisea,
225,Mongolia Ulterior,
226,Voronegia,
227,Arabia,
228,Omium,
229,Manchuria,
230,Parthia,
231,Bengala,
232,California,
233,Sudania,
234,Mozambicum,
235,Gedrosia,
236,Dravidia,
237,Odisa,
238,Thracia,
239,Transbaicalia,
240,Mongolia Citerior,
241,Kiangnanum,
242,Alpes Iaponicae,
243,Persia,
244,Amdo,
245,Transoxiana,
246,Chilia,
247,Venetiola,
248,Paraensis,
249,Flumen Brasiliense,
250,Lydia,
251,Ultima Thule,
